char,width,weight,cluster,cluster_width
 ,5.8,813,0,6.913333333333335
Î,6.4,1,0,6.913333333333335
Ï,6.4,1,0,6.913333333333335
t,6.6,417,0,6.913333333333335
ŕ,8.2,1,0,6.913333333333335
r,7.6,563,0,6.913333333333335
l,5.2,300,0,6.913333333333335
j,5.3,7,0,6.913333333333335
i,5.2,536,0,6.913333333333335
f,6.7,80,0,6.913333333333335
ł,6.0,1,0,6.913333333333335
ŀ,7.5,1,0,6.913333333333335
`,8.5,1,0,6.913333333333335
ľ,7.6,1,0,6.913333333333335
],6.7,1,0,6.913333333333335
º,8.5,1,0,6.913333333333335
[,6.7,1,0,6.913333333333335
ļ,6.0,1,0,6.913333333333335
ĺ,6.0,1,0,6.913333333333335
ĵ,6.1,1,0,6.913333333333335
Í,6.4,2,0,6.913333333333335
ı,5.9,1,0,6.913333333333335
Ì,6.4,1,0,6.913333333333335
ř,8.2,1,0,6.913333333333335
¹,7.3,1,0,6.913333333333335
¸,8.5,1,0,6.913333333333335
·,6.4,1,0,6.913333333333335
´,8.5,1,0,6.913333333333335
³,7.3,1,0,6.913333333333335
²,7.3,1,0,6.913333333333335
ŧ,7.3,1,0,6.913333333333335
°,8.8,1,0,6.913333333333335
ť,8.3,1,0,6.913333333333335
ţ,7.3,1,0,6.913333333333335
ª,8.4,1,0,6.913333333333335
¨,8.6,1,0,6.913333333333335
¦,7.3,1,0,6.913333333333335
ſ,6.9,1,0,6.913333333333335
¡,6.9,1,0,6.913333333333335
ј,6.1,1,0,6.913333333333335
ї,6.7,1,0,6.913333333333335
|,7.3,1,0,6.913333333333335
і,6.0,1,0,6.913333333333335
ŗ,8.2,1,0,6.913333333333335
ì,5.9,1,0,6.913333333333335
\,7.3,1,0,6.913333333333335
î,5.9,5,0,6.913333333333335
І,7.2,1,0,6.913333333333335
ĩ,6.8,1,0,6.913333333333335
Ĩ,7.2,1,0,6.913333333333335
í,5.9,1,0,6.913333333333335
:,6.0,1,0,6.913333333333335
ȷ,6.9,1,0,6.913333333333335
ț,8.1,1,0,6.913333333333335
Ї,7.2,1,0,6.913333333333335
/,7.3,1,0,6.913333333333335
-,6.9,315,0,6.913333333333335
",",5.8,1,0,6.913333333333335
),6.9,1,0,6.913333333333335
(,6.9,1,0,6.913333333333335
',4.7,2,0,6.913333333333335
"""",8.5,1,0,6.913333333333335
!,6.9,1,0,6.913333333333335
.,5.8,13040,0,6.913333333333335
Ī,7.2,1,0,6.913333333333335
;,6.0,1,0,6.913333333333335
I,6.4,9,0,6.913333333333335
J,8.6,9,0,6.913333333333335
İ,7.2,1,0,6.913333333333335
ĭ,6.7,1,0,6.913333333333335
Į,7.2,1,0,6.913333333333335
ī,6.7,1,0,6.913333333333335
ï,5.9,2,0,6.913333333333335
Ĭ,7.2,1,0,6.913333333333335
į,6.0,1,0,6.913333333333335
ş,10.2,1,1,11.038461538461538
ĸ,11.0,1,1,11.038461538461538
ŝ,10.2,1,1,11.038461538461538
ĕ,11.0,1,1,11.038461538461538
