char,width,weight,cluster,cluster_width
 ,5.1,813,0,6.440506329113925
¸,7.0,1,0,6.440506329113925
·,5.9,1,0,6.440506329113925
ŕ,7.3,1,0,6.440506329113925
´,7.0,1,0,6.440506329113925
³,6.7,1,0,6.440506329113925
²,6.8,1,0,6.440506329113925
ŗ,7.3,1,0,6.440506329113925
°,8.0,1,0,6.440506329113925
ř,7.3,1,0,6.440506329113925
ª,7.3,1,0,6.440506329113925
¨,7.2,1,0,6.440506329113925
¦,7.2,1,0,6.440506329113925
¹,6.7,1,0,6.440506329113925
ţ,6.5,1,0,6.440506329113925
|,7.2,1,0,6.440506329113925
{,7.4,1,0,6.440506329113925
ť,8.1,1,0,6.440506329113925
ŧ,6.6,1,0,6.440506329113925
t,5.7,417,0,6.440506329113925
r,6.7,563,0,6.440506329113925
l,4.4,300,0,6.440506329113925
j,4.8,7,0,6.440506329113925
i,4.6,536,0,6.440506329113925
f,6.1,80,0,6.440506329113925
`,7.0,1,0,6.440506329113925
],6.0,1,0,6.440506329113925
},7.4,1,0,6.440506329113925
\,6.8,1,0,6.440506329113925
º,7.5,1,0,6.440506329113925
і,5.4,1,0,6.440506329113925
ï,5.5,2,0,6.440506329113925
î,5.5,5,0,6.440506329113925
í,5.5,1,0,6.440506329113925
ì,5.5,1,0,6.440506329113925
Ĩ,7.2,1,0,6.440506329113925
ĩ,6.3,1,0,6.440506329113925
Ī,7.2,1,0,6.440506329113925
ī,6.3,1,0,6.440506329113925
Ĭ,7.2,1,0,6.440506329113925
ĭ,6.3,1,0,6.440506329113925
Į,7.1,1,0,6.440506329113925
į,5.4,1,0,6.440506329113925
ѓ,8.1,1,0,6.440506329113925
İ,7.2,1,0,6.440506329113925
ĵ,5.6,1,0,6.440506329113925
ĺ,5.2,1,0,6.440506329113925
ļ,5.2,1,0,6.440506329113925
ľ,7.1,1,0,6.440506329113925
ŀ,7.5,1,0,6.440506329113925
ł,5.5,1,0,6.440506329113925
Ï,6.4,1,0,6.440506329113925
Î,6.4,1,0,6.440506329113925
Í,6.4,2,0,6.440506329113925
Ì,6.4,1,0,6.440506329113925
ј,5.6,1,0,6.440506329113925
ї,6.3,1,0,6.440506329113925
ı,5.5,1,0,6.440506329113925
[,6.0,1,0,6.440506329113925
¡,5.9,1,0,6.440506329113925
",",5.2,1,0,6.440506329113925
.,5.2,13040,0,6.440506329113925
-,6.5,315,0,6.440506329113925
I,6.4,9,0,6.440506329113925
),6.5,1,0,6.440506329113925
(,6.5,1,0,6.440506329113925
',3.9,2,0,6.440506329113925
Ї,7.2,1,0,6.440506329113925
І,7.2,1,0,6.440506329113925
"""",7.7,1,0,6.440506329113925
!,5.9,1,0,6.440506329113925
J,8.3,9,0,6.440506329113925
г,8.1,19,0,6.440506329113925
/,6.8,1,0,6.440506329113925
ț,7.7,1,0,6.440506329113925
:,5.4,1,0,6.440506329113925
ȷ,6.7,1,0,6.440506329113925
ſ,5.8,1,0,6.440506329113925
;,5.5,1,0,6.440506329113925
Ǐ,10.2,1,1,10.181218274111677
ň,10.6,1,1,10.181218274111677
ķ,9.8,1,1,10.181218274111677
ņ,10.6,1,1,10.181218274111677
ĸ,10.3,1,1,10.181218274111677
ў,9.7,1,1,10.181218274111677
Ĺ,11.0,1,1,10.181218274111677
ȋ,10.0,1,1,10.181218274111677
Ļ,11.0,1,1,10.181218274111677
ȑ,10.3,1,1,10.181218274111677
Ľ,11.1,1,1,10.181218274111677
ń,10.6,1,1,10.181218274111677
џ,10.7,1,1,10.181218274111677
ǁ,11.1,1,1,10.181218274111677
ǃ,10.2,1,1,10.181218274111677
Ŀ,11.2,1,1,10.181218274111677
ǐ,9.2,1,1,10.181218274111677
Ł,11.1,1,1,10.181218274111677
ș,10.2,1,1,10.181218274111677
ȓ,10.3,1,1,10.181218274111677
и,10.8,169,1,10.181218274111677
ĳ,9.8,1,1,10.181218274111677
ć,9.8,1,1,10.181218274111677
ғ,9.9,1,1,10.181218274111677
ĉ,9.8,1,1,10.181218274111677
ċ,9.8,1,1,10.181218274111677
ґ,8.4,1,1,10.181218274111677
č,9.8,1,1,10.181218274111677
Ґ,9.8,1,1,10.181218274111677
đ,11.1,1,1,10.181218274111677
ē,10.3,1,1,10.181218274111677
ĕ,10.3,1,1,10.181218274111677
ė,10.3,1,1,10.181218274111677
҈,8.5,1,1,10.181218274111677
ę,10.3,1,1,10.181218274111677
ě,10.3,1,1,10.181218274111677
ĝ,10.7,1,1,10.181218274111677
ğ,10.7,1,1,10.181218274111677
ġ,10.7,1,1,10.181218274111677
ǰ,9.2,1,1,10.181218274111677
ǻ,10.0,1,1,10.181218274111677
ģ,10.7,1,1,10.181218274111677
